"","Model","Case_RMSE_Median","Case_RMSE_Q1","Case_RMSE_Q3","Case_MAPE_Median","Case_MAPE_Q1","Case_MAPE_Q3","Case_PA_Median","Case_PA_Q1","Case_PA_Q3"
"1","RF",51.244,26.529,81.558,15.937,12.429,19.478,85.306,83.405,88.176
"2","RF (Smooth)",50.26,28.242,80.716,15.003,12.598,19.178,86.024,82.85,88.11
"3","Regression",52.914,28.486,77.518,15.513,12.952,18.048,85.92,83.603,87.872
"4","Regression (Smooth)",48.787,29.106,75.89,14.672,12.049,17.739,85.935,84.102,88.449
"5","XGBoost",69.968,35.944,100.892,19.632,15.852,25.341,82.816,78.563,85.781
"6","XGBoost (Smooth)",48.644,28.773,76.359,14.127,12.069,17.331,86.465,84.441,88.58
