Date,Rt_actual,Rt_forecast,Case_actual,Case_forecast,Rt_lower95,Case_lower95,Rt_upper95,Case_upper95,County
11/11/2020,0.969081798,0.837599112,5,5,0.271653905,1,1.558984083,12,Abbeville
11/12/2020,1.00180109,0.837599112,5,4,0.271653905,0.975,1.558984083,12,Abbeville
11/13/2020,1.041600331,0.837599112,6,4,0.271653905,0,1.558984083,12,Abbeville
11/14/2020,1.078090215,0.837599112,4,4,0.271653905,0,1.558984083,13,Abbeville
11/15/2020,1.112338193,0.837599112,4,4,0.271653905,0,1.558984083,14,Abbeville
11/16/2020,1.143248572,0.837599112,4,4,0.271653905,0,1.558984083,15,Abbeville
11/17/2020,1.171748902,0.837599112,4,3,0.271653905,0,1.558984083,15,Abbeville
11/18/2020,1.185376037,0.868137155,5,4,0.401411969,0,1.737819037,10,Abbeville
11/19/2020,1.191614116,0.868137155,5,4,0.401411969,0,1.737819037,10,Abbeville
11/20/2020,1.192434064,0.868137155,5,4,0.401411969,0,1.737819037,10,Abbeville
11/21/2020,1.188576433,0.868137155,6,3,0.401411969,0,1.737819037,11,Abbeville
11/22/2020,1.187234368,0.868137155,7,3,0.401411969,0,1.737819037,12,Abbeville
11/23/2020,1.186846094,0.868137155,6,3,0.401411969,0,1.737819037,14,Abbeville
11/24/2020,1.186248753,0.868137155,7,3,0.401411969,0,1.737819037,15,Abbeville
11/25/2020,1.176984886,1.0634676,7,6,0.659624697,1,2.175836324,14,Abbeville
11/26/2020,1.172326801,1.0634676,7,6,0.659624697,1,2.175836324,16,Abbeville
11/27/2020,1.168663273,1.0634676,7,6,0.659624697,1,2.175836324,19,Abbeville
11/28/2020,1.164207428,1.0634676,8,6,0.659624697,1,2.175836324,21,Abbeville
11/29/2020,1.157981861,1.0634676,7,6,0.659624697,1,2.175836324,23.025,Abbeville
11/30/2020,1.147282692,1.0634676,8,6,0.659624697,1,2.175836324,30,Abbeville
12/1/2020,1.130464691,1.0634676,7,6.5,0.659624697,1,2.175836324,36,Abbeville
12/2/2020,1.109679636,1.103149966,6,8,0.60046433,2,1.796853073,16,Abbeville
12/3/2020,1.085369862,1.103149966,8,8,0.60046433,2,1.796853073,17,Abbeville
12/4/2020,1.058000668,1.103149966,8,8,0.60046433,2,1.796853073,19,Abbeville
12/5/2020,1.033752689,1.103149966,10,8,0.60046433,2,1.796853073,21,Abbeville
12/6/2020,1.007111718,1.103149966,11,8,0.60046433,2,1.796853073,24,Abbeville
12/7/2020,0.983718926,1.103149966,12,9,0.60046433,2,1.796853073,28,Abbeville
12/8/2020,0.97009262,1.103149966,12,9,0.60046433,2,1.796853073,31,Abbeville
12/9/2020,0.962609926,1.216893232,11,11,0.767792783,4,2.069166849,22,Abbeville
12/10/2020,0.959259836,1.216893232,11,12,0.767792783,4,2.069166849,26,Abbeville
12/11/2020,0.962060703,1.216893232,11,13,0.767792783,5,2.069166849,28,Abbeville
12/12/2020,0.97240205,1.216893232,10,14,0.767792783,4,2.069166849,33,Abbeville
12/13/2020,0.987021316,1.216893232,10,14,0.767792783,5,2.069166849,39,Abbeville
12/14/2020,0.99889803,1.216893232,9,15,0.767792783,4.975,2.069166849,47.025,Abbeville
