"","Model","Rt_RMSE_Median","Rt_RMSE_Q1","Rt_RMSE_Q3","Rt_sMAPE_Median","Rt_sMAPE_Q1","Rt_sMAPE_Q3","Rt_PA_Median","Rt_PA_Q1","Rt_PA_Q3","Case_RMSE_Median","Case_RMSE_Q1","Case_RMSE_Q3","Case_sMAPE_Median","Case_sMAPE_Q1","Case_sMAPE_Q3","Case_PA_Median","Case_PA_Q1","Case_PA_Q3"
"1","Ensemble",0.16,0.16,0.16,8.61,7.25,11.22,91.92,89.76,93.11,11.88,4.36,30.02,82.65,39.01,113.78,51.71,33.69,72.22
"2","EpiNow2",0.23,0.23,0.23,14.89,11.13,23.77,86.54,79.46,89.59,13.66,7.66,25.21,66.19,47.91,93.35,55.94,43.24,66.65
