"","Model","Case_RMSE_Median","Case_RMSE_Q1","Case_RMSE_Q3","Case_MAPE_Median","Case_MAPE_Q1","Case_MAPE_Q3","Case_PA_Median","Case_PA_Q1","Case_PA_Q3"
"1","RF",51.239,30.518,85.969,16.666,13.488,22.02,84.4,81.62,86.739
"2","RF (Smooth)",54.348,33.587,97.923,17.476,13.643,21.853,84.023,80.526,86.35
"3","Regression",49.37,32.988,94.9,17.15,12.947,19.711,84.602,82.673,87.721
"4","Regression (Smooth)",59.552,34.013,98.573,18.502,15.578,23.168,82.954,80.276,85.312
"5","XGBoost",71.807,44.394,129.231,23.637,18.743,28.552,80.481,76.324,83.856
"6","XGBoost (Smooth)",62.321,31.907,92.418,18.215,14.96,23.398,83.44,80.44,85.33
