"","Model","Case_RMSE_Median","Case_RMSE_Q1","Case_RMSE_Q3","Case_MAPE_Median","Case_MAPE_Q1","Case_MAPE_Q3","Case_PA_Median","Case_PA_Q1","Case_PA_Q3"
"1","RF",26.433,14.045,44.394,22.901,20.042,30.673,81.294,76.656,83.172
"2","RF (Smooth)",32.202,18.334,69.991,31.971,27.323,42.229,76.016,72.528,79.524
"3","Regression",33.938,21.628,63.236,28.62,25.24,42.041,78.28,72.269,81.187
"4","Regression (Smooth)",36.73,23.999,77.894,35.598,27.438,45.882,74.857,71.029,79.201
"5","XGBoost",31.006,20.187,58.884,26.429,23.956,34.212,80.432,75.569,82.149
"6","XGBoost (Smooth)",36.791,23.149,77.848,36.435,28.152,45.083,75.968,72.321,78.483
