"","Model","Rt_RMSE_Median","Rt_RMSE_Q1","Rt_RMSE_Q3","Rt_sMAPE_Median","Rt_sMAPE_Q1","Rt_sMAPE_Q3","Rt_PA_Median","Rt_PA_Q1","Rt_PA_Q3","Case_RMSE_Median","Case_RMSE_Q1","Case_RMSE_Q3","Case_sMAPE_Median","Case_sMAPE_Q1","Case_sMAPE_Q3","Case_PA_Median","Case_PA_Q1","Case_PA_Q3"
"1","RF",0.113,0.113,0.113,7.543,5.756,10.573,92.848,90.112,94.463,14.363,5.877,22.366,24.686,19.871,28.973,79.053,76.212,82.752
"2","RF (Snooth)",0.11,0.11,0.11,7.327,6.689,8.456,93.124,92.108,93.681,14.563,6.973,22.967,26.922,21.654,31.301,77.486,75.006,81.679
"3","Regression",0.178,0.178,0.178,11.899,8.078,15.472,89.015,86.042,92.36,19.249,9.789,26.125,30.275,25.926,40.536,75.389,68.766,78.244
"4","Regression (Smooth)",0.187,0.187,0.187,11.879,9.673,14.415,89.246,87.33,91.025,19.884,8.865,26.133,28.863,26.158,34.57,76.135,73.091,78.169
"5","XGBoost",0.167,0.167,0.167,11.546,8.766,15.883,89.355,85.759,91.742,20.22,9.423,29.081,34.227,28.25,45.686,72.667,66.723,76.958
"6","XGBoost (Smooth)",0.113,0.113,0.113,8.069,6.947,9.852,92.394,90.851,93.391,18.234,8.606,24.538,29.02,25.55,36.188,75.766,71.715,78.543
