"","Model","Case_RMSE_Median","Case_RMSE_Q1","Case_RMSE_Q3","Case_MAPE_Median","Case_MAPE_Q1","Case_MAPE_Q3","Case_PA_Median","Case_PA_Q1","Case_PA_Q3"
"1","RF",28.269,17.566,52.443,26.297,21.179,32.799,80.527,76.342,83.475
"2","RF (Smooth)",36.071,23.805,100.172,45.555,34.647,69.456,69.406,61.719,74.379
"3","Regression",33.138,21.142,66.325,32.657,23.201,39.927,77.102,71.875,81.487
"4","Regression (Smooth)",45.221,26.2,117.936,53.215,33.346,79.182,68.655,61.171,76.318
"5","XGBoost",30.825,19.807,68.634,29.426,21.587,38.5,78.398,71.915,81.864
"6","XGBoost (Smooth)",48.8,25.237,115.444,50.861,34.952,77.831,69.749,60.324,75.644
