"","Model","Case_RMSE_Median","Case_RMSE_Q1","Case_RMSE_Q3","Case_MAPE_Median","Case_MAPE_Q1","Case_MAPE_Q3","Case_PA_Median","Case_PA_Q1","Case_PA_Q3"
"1","RF",23.363,13.947,41.216,21.119,16.775,25.488,82.689,79.923,85.281
"2","RF (Smooth)",31.643,19.185,76.701,37.7,29.727,55.297,72.702,67.767,77.02
"3","Regression",31.409,21.736,57.536,27.768,23.646,40.938,77.96,71.991,81.631
"4","Regression (Smooth)",40.672,22.097,82.894,43.663,30.324,58.936,71.694,66.822,76.895
"5","XGBoost",27.716,16.214,51.068,24.189,20.107,32.394,80.41,77.199,83.986
"6","XGBoost (Smooth)",44.398,23.093,84.294,43.631,30.707,57.558,72.244,67.699,76.695
