"","Model","Rt_RMSE_Median","Rt_RMSE_Q1","Rt_RMSE_Q3","Rt_sMAPE_Median","Rt_sMAPE_Q1","Rt_sMAPE_Q3","Rt_PA_Median","Rt_PA_Q1","Rt_PA_Q3","Case_RMSE_Median","Case_RMSE_Q1","Case_RMSE_Q3","Case_sMAPE_Median","Case_sMAPE_Q1","Case_sMAPE_Q3","Case_PA_Median","Case_PA_Q1","Case_PA_Q3"
"1","RF",0.096,0.096,0.096,6.463,5.337,8.297,93.827,92.113,94.881,12.607,6.486,20.2,22.495,19.541,27.805,80.49,77.123,82.985
"2","RF (Snooth)",0.075,0.075,0.075,4.928,4.079,6.233,95.269,94.052,96.052,13.782,6.576,22.179,24.565,20.721,28.445,79.047,76.507,81.969
"3","Regression",0.179,0.179,0.179,12.035,8.302,16.527,88.999,85.413,92.165,14.416,6.364,21.472,23.258,19.877,28.466,80.345,76.949,82.668
"4","Regression (Smooth)",0.134,0.134,0.134,9.614,7.803,11.145,91.049,89.796,92.648,12.899,6.47,22.92,24.374,21.561,29.126,79.441,76.051,81.369
"5","XGBoost",0.16,0.16,0.16,11.197,8.394,15.238,89.673,86.233,92.101,16.359,8.814,24.297,26.66,23.519,35.599,77.532,70.929,79.962
"6","XGBoost (Smooth)",0.116,0.116,0.116,8.872,7.284,10.287,91.676,90.416,93.066,12.486,6.061,21.651,24.049,20.14,28.243,79.385,76.693,82.362
