date,county,state,fips,cases,deaths
2022-01-01,Abbeville,South Carolina,45001,4282,54
2022-01-01,Aiken,South Carolina,45003,28969,368
2022-01-01,Allendale,South Carolina,45005,1408,21
2022-01-01,Anderson,South Carolina,45007,40080,819
2022-01-01,Bamberg,South Carolina,45009,2253,64
2022-01-01,Barnwell,South Carolina,45011,4060,88
2022-01-01,Beaufort,South Carolina,45013,28961,325
2022-01-01,Berkeley,South Carolina,45015,33348,365
2022-01-01,Calhoun,South Carolina,45017,1878,54
2022-01-01,Charleston,South Carolina,45019,71954,755
2022-01-01,Cherokee,South Carolina,45021,10667,267
2022-01-01,Chester,South Carolina,45023,6979,124
2022-01-01,Chesterfield,South Carolina,45025,8115,158
2022-01-01,Clarendon,South Carolina,45027,5467,137
2022-01-01,Colleton,South Carolina,45029,5962,192
2022-01-01,Darlington,South Carolina,45031,12918,239
2022-01-01,Dillon,South Carolina,45033,6728,120
2022-01-01,Dorchester,South Carolina,45035,36561,395
2022-01-01,Edgefield,South Carolina,45037,4745,60
2022-01-01,Fairfield,South Carolina,45039,3602,95
2022-01-01,Florence,South Carolina,45041,28548,553
2022-01-01,Georgetown,South Carolina,45043,10421,190
2022-01-01,Greenville,South Carolina,45045,114621,1565
2022-01-01,Greenwood,South Carolina,45047,13726,242
2022-01-01,Hampton,South Carolina,45049,3267,75
2022-01-01,Horry,South Carolina,45051,67157,932
2022-01-01,Jasper,South Carolina,45053,4135,82
2022-01-01,Kershaw,South Carolina,45055,13317,218
2022-01-01,Lancaster,South Carolina,45057,17632,247
2022-01-01,Laurens,South Carolina,45059,12618,247
2022-01-01,Lee,South Carolina,45061,2843,82
2022-01-01,Lexington,South Carolina,45063,59455,731
2022-01-01,Marion,South Carolina,45067,5754,143
2022-01-01,Marlboro,South Carolina,45069,5198,86
2022-01-01,McCormick,South Carolina,45065,1486,30
2022-01-01,Newberry,South Carolina,45071,8159,153
2022-01-01,Oconee,South Carolina,45073,16954,263
2022-01-01,Orangeburg,South Carolina,45075,15642,341
2022-01-01,Pickens,South Carolina,45077,29986,512
2022-01-01,Richland,South Carolina,45079,76175,801
2022-01-01,Saluda,South Carolina,45081,2688,62
2022-01-01,Spartanburg,South Carolina,45083,65984,1281
2022-01-01,Sumter,South Carolina,45085,17974,312
2022-01-01,Union,South Carolina,45087,5102,113
2022-01-01,Williamsburg,South Carolina,45089,5894,131
2022-01-01,York,South Carolina,45091,51647,544
2022-01-02,Abbeville,South Carolina,45001,4282,54
2022-01-02,Aiken,South Carolina,45003,28969,368
2022-01-02,Allendale,South Carolina,45005,1408,21
2022-01-02,Anderson,South Carolina,45007,40080,819
2022-01-02,Bamberg,South Carolina,45009,2253,64
2022-01-02,Barnwell,South Carolina,45011,4060,88
2022-01-02,Beaufort,South Carolina,45013,28961,325
2022-01-02,Berkeley,South Carolina,45015,33348,365
2022-01-02,Calhoun,South Carolina,45017,1878,54
2022-01-02,Charleston,South Carolina,45019,71954,755
2022-01-02,Cherokee,South Carolina,45021,10667,267
2022-01-02,Chester,South Carolina,45023,6979,124
2022-01-02,Chesterfield,South Carolina,45025,8115,158
2022-01-02,Clarendon,South Carolina,45027,5467,137
2022-01-02,Colleton,South Carolina,45029,5962,192
2022-01-02,Darlington,South Carolina,45031,12918,239
2022-01-02,Dillon,South Carolina,45033,6728,120
2022-01-02,Dorchester,South Carolina,45035,36561,395
2022-01-02,Edgefield,South Carolina,45037,4745,60
2022-01-02,Fairfield,South Carolina,45039,3602,95
2022-01-02,Florence,South Carolina,45041,28548,553
2022-01-02,Georgetown,South Carolina,45043,10421,190
