Date,Rt_actual,Rt_forecast,Case_actual,Case_forecast,Rt_lower95,Case_lower95,Rt_upper95,Case_upper95,County
11/11/2020,1.008956951,0.85513434,5,5,0.269079041,1,1.568743477,12,Abbeville
11/12/2020,1.014360484,0.85513434,5,5,0.269079041,0,1.568743477,12,Abbeville
11/13/2020,1.022783295,0.85513434,6,4,0.269079041,0,1.568743477,12,Abbeville
11/14/2020,1.077973112,0.85513434,4,4,0.269079041,0,1.568743477,13.025,Abbeville
11/15/2020,1.111923313,0.85513434,4,4,0.269079041,0,1.568743477,14,Abbeville
11/16/2020,1.044362457,0.85513434,4,4,0.269079041,0,1.568743477,15,Abbeville
11/17/2020,1.050521535,0.85513434,4,4,0.269079041,0,1.568743477,16,Abbeville
11/18/2020,1.05592095,0.85513434,5,4,0.269079041,0,1.568743477,18.025,Abbeville
11/19/2020,1.062792008,0.85513434,5,3,0.269079041,0,1.568743477,19.025,Abbeville
11/20/2020,1.073072436,0.85513434,5,3,0.269079041,0,1.568743477,22.025,Abbeville
11/21/2020,1.084519928,0.85513434,6,3,0.269079041,0,1.568743477,25.025,Abbeville
11/22/2020,1.099323816,0.85513434,7,3,0.269079041,0,1.568743477,27,Abbeville
11/23/2020,1.117083856,0.85513434,6,3,0.269079041,0,1.568743477,28,Abbeville
11/24/2020,1.138993527,0.85513434,7,3,0.269079041,0,1.568743477,32.025,Abbeville
11/25/2020,1.161904961,1.095524302,7,6,0.693103214,1,2.622527665,14,Abbeville
11/26/2020,1.187179295,1.095524302,7,6,0.693103214,1,2.622527665,16,Abbeville
11/27/2020,1.213600324,1.095524302,7,6,0.693103214,1,2.622527665,20,Abbeville
11/28/2020,1.238116591,1.095524302,8,7,0.693103214,1,2.622527665,24,Abbeville
11/29/2020,1.257843672,1.095524302,7,7,0.693103214,1,2.622527665,33,Abbeville
11/30/2020,1.270478235,1.095524302,8,7,0.693103214,1,2.622527665,43.025,Abbeville
12/1/2020,1.275171528,1.095524302,7,7,0.693103214,1,2.622527665,53.025,Abbeville
12/2/2020,1.272838508,1.095524302,6,7,0.693103214,1,2.622527665,75,Abbeville
12/3/2020,1.262802335,1.095524302,8,8,0.693103214,1,2.622527665,98.075,Abbeville
12/4/2020,1.245555946,1.095524302,8,8,0.693103214,1,2.622527665,130,Abbeville
12/5/2020,1.222452548,1.095524302,10,8,0.693103214,1,2.622527665,178,Abbeville
12/6/2020,1.195289806,1.095524302,11,8,0.693103214,1,2.622527665,235.325,Abbeville
12/7/2020,1.167828338,1.095524302,12,8,0.693103214,1,2.622527665,294,Abbeville
12/8/2020,1.141747603,1.095524302,12,8,0.693103214,0,2.622527665,416.25,Abbeville
12/9/2020,1.117178285,1.23077599,11,11,0.794555224,4,2.118639737,23,Abbeville
12/10/2020,1.096021229,1.23077599,11,12,0.794555224,4.975,2.118639737,25,Abbeville
12/11/2020,1.07698205,1.23077599,11,13,0.794555224,5,2.118639737,30.025,Abbeville
12/12/2020,1.063191495,1.23077599,10,14,0.794555224,5,2.118639737,34,Abbeville
12/13/2020,1.053523015,1.23077599,10,15,0.794555224,5,2.118639737,39.025,Abbeville
12/14/2020,1.046360123,1.23077599,9,15,0.794555224,4,2.118639737,51,Abbeville
12/15/2020,1.039417758,1.23077599,10,16,0.794555224,5,2.118639737,58.025,Abbeville
12/16/2020,1.033688625,1.23077599,10,17,0.794555224,4,2.118639737,73.05,Abbeville
12/17/2020,1.029248365,1.23077599,10,18,0.794555224,4,2.118639737,86.025,Abbeville
12/18/2020,1.024076193,1.23077599,10,19,0.794555224,4,2.118639737,116,Abbeville
12/19/2020,1.017262877,1.23077599,9,20,0.794555224,4,2.118639737,135,Abbeville
12/20/2020,1.011442316,1.23077599,11,21,0.794555224,4,2.118639737,172.025,Abbeville
12/21/2020,1.005236985,1.23077599,10,22,0.794555224,4,2.118639737,218,Abbeville
12/22/2020,0.999674117,1.23077599,10,23,0.794555224,4,2.118639737,258.075,Abbeville
12/23/2020,0.997022701,0.991561003,10,10,0.623181211,4,1.541369274,19,Abbeville
12/24/2020,0.998693539,0.991561003,12,10,0.623181211,3,1.541369274,20,Abbeville
12/25/2020,1.004757518,0.991561003,10,10,0.623181211,3,1.541369274,21,Abbeville
12/26/2020,1.013137333,0.991561003,9,10,0.623181211,3,1.541369274,22.025,Abbeville
12/27/2020,1.023841593,0.991561003,10,10,0.623181211,3,1.541369274,24,Abbeville
12/28/2020,1.037481258,0.991561003,9,10,0.623181211,2,1.541369274,25,Abbeville
12/29/2020,1.052824325,0.991561003,10,10,0.623181211,2,1.541369274,27,Abbeville
12/30/2020,1.068428585,0.991561003,9,10,0.623181211,2,1.541369274,29,Abbeville
12/31/2020,1.08415821,0.991561003,8,10,0.623181211,2,1.541369274,33,Abbeville
1/1/2021,1.100500496,0.991561003,8,10,0.623181211,2,1.541369274,37.025,Abbeville
1/2/2021,1.114150503,0.991561003,8,10,0.623181211,1,1.541369274,41,Abbeville
1/3/2021,1.126080324,0.991561003,6,10,0.623181211,1,1.541369274,46,Abbeville
1/4/2021,1.134553016,0.991561003,7,10,0.623181211,1,1.541369274,47.025,Abbeville
1/5/2021,1.138261602,0.991561003,6,10,0.623181211,1,1.541369274,62.025,Abbeville
